"Participant","Choice","Stress","Relax","Baseline","MostChoice","State","MajorityState","profile","StressPerc","RelaxPerc","TotalPings","P_TotalStress","P_TotalRelax","P_TotalBase","P_TotalPings","TotalStressPerc","TotalRelaxPerc","Trial","valence.png","arousal.png","control.png","NaturalInt","NaturalStoryDec","InterrogatorFeel","UnderstandAsCharacter","ImagineInSitu","InHead","ConsequenceCare","Absorbed","ReallyInside","FullAttention","immersionsums","identificationsums","systemsums","StressNorm","non_baseline_percentage"
1,"Defensive",0,7,4,"Mixed","Relaxed","Relaxed","MixedRelaxed",0,63.6363636363636,11,18,115,170,303,5.94059405940594,37.953795379538,1,8,6,6,6,6,4,7,6,5,3,7,6,7,20,21,16,-0.501650165016502,43.8943894389439
1,"Honest",6,17,17,"Mixed","Relaxed","Relaxed","MixedRelaxed",15,42.5,40,18,115,170,303,5.94059405940594,37.953795379538,2,8,6,6,6,6,4,7,6,5,3,7,6,7,20,21,16,-0.501650165016502,43.8943894389439
1,"Honest",6,44,60,"Mixed","Relaxed","Relaxed","MixedRelaxed",5.45454545454545,40,110,18,115,170,303,5.94059405940594,37.953795379538,3,8,6,6,6,6,4,7,6,5,3,7,6,7,20,21,16,-0.501650165016502,43.8943894389439
1,"Defensive",6,47,89,"Mixed","Relaxed","Relaxed","MixedRelaxed",4.22535211267606,33.0985915492958,142,18,115,170,303,5.94059405940594,37.953795379538,4,8,6,6,6,6,4,7,6,5,3,7,6,7,20,21,16,-0.501650165016502,43.8943894389439
10,"Defensive",0,0,9,"Defensive","Relaxed","Relaxed","DefensiveRelaxed",0,0,9,5,18,260,283,1.76678445229682,6.36042402826855,1,9,8,2,7,6,7,6,7,5,6,7,7,6,20,24,20,-0.901060070671378,8.12720848056537
10,"Honest",1,0,38,"Defensive","Stressed","Relaxed","DefensiveRelaxed",2.56410256410256,0,39,5,18,260,283,1.76678445229682,6.36042402826855,2,9,8,2,7,6,7,6,7,5,6,7,7,6,20,24,20,-0.901060070671378,8.12720848056537
10,"Defensive",1,8,93,"Defensive","Relaxed","Relaxed","DefensiveRelaxed",0.980392156862745,7.84313725490196,102,5,18,260,283,1.76678445229682,6.36042402826855,3,9,8,2,7,6,7,6,7,5,6,7,7,6,20,24,20,-0.901060070671378,8.12720848056537
10,"Defensive",3,10,120,"Defensive","Relaxed","Relaxed","DefensiveRelaxed",2.25563909774436,7.5187969924812,133,5,18,260,283,1.76678445229682,6.36042402826855,4,9,8,2,7,6,7,6,7,5,6,7,7,6,20,24,20,-0.901060070671378,8.12720848056537
11,"Defensive",8,0,2,"Defensive","Stressed","Stressed","DefensiveStressed",80,0,10,67,22,211,300,22.3333333333333,7.33333333333333,1,8,1,5,5,5,4,5,6,6,5,6,6,6,18,22,14,-0.48,29.6666666666667
11,"Defensive",19,2,18,"Defensive","Stressed","Stressed","DefensiveStressed",48.7179487179487,5.12820512820513,39,67,22,211,300,22.3333333333333,7.33333333333333,2,8,1,5,5,5,4,5,6,6,5,6,6,6,18,22,14,-0.48,29.6666666666667
11,"Defensive",20,9,82,"Defensive","Stressed","Stressed","DefensiveStressed",18.018018018018,8.10810810810811,111,67,22,211,300,22.3333333333333,7.33333333333333,3,8,1,5,5,5,4,5,6,6,5,6,6,6,18,22,14,-0.48,29.6666666666667
11,"Defensive",20,11,109,"Defensive","Stressed","Stressed","DefensiveStressed",14.2857142857143,7.85714285714286,140,67,22,211,300,22.3333333333333,7.33333333333333,4,8,1,5,5,5,4,5,6,6,5,6,6,6,18,22,14,-0.48,29.6666666666667
12,"Defensive",0,0,9,"Honest","Relaxed","Stressed","HonestStressed",0,0,9,87,4,193,284,30.6338028169014,1.40845070422535,1,9,7,6,6,6,4,7,6,6,7,7,7,7,21,26,16,-0.373239436619718,32.0422535211268
12,"Honest",9,0,29,"Honest","Stressed","Stressed","HonestStressed",23.6842105263158,0,38,87,4,193,284,30.6338028169014,1.40845070422535,2,9,7,6,6,6,4,7,6,6,7,7,7,7,21,26,16,-0.373239436619718,32.0422535211268
12,"Honest",32,1,68,"Honest","Stressed","Stressed","HonestStressed",31.6831683168317,0.99009900990099,101,87,4,193,284,30.6338028169014,1.40845070422535,3,9,7,6,6,6,4,7,6,6,7,7,7,7,21,26,16,-0.373239436619718,32.0422535211268
12,"Honest",46,3,87,"Honest","Stressed","Stressed","HonestStressed",33.8235294117647,2.20588235294118,136,87,4,193,284,30.6338028169014,1.40845070422535,4,9,7,6,6,6,4,7,6,6,7,7,7,7,21,26,16,-0.373239436619718,32.0422535211268
13,"Defensive",7,0,2,"Defensive","Stressed","Stressed","DefensiveStressed",77.7777777777778,0,9,159,0,143,302,52.6490066225166,0,1,7,6,5,6,5,5,7,7,6,6,6,6,6,18,26,16,0.0529801324503311,52.6490066225166
13,"Defensive",25,0,15,"Defensive","Stressed","Stressed","DefensiveStressed",62.5,0,40,159,0,143,302,52.6490066225166,0,2,7,6,5,6,5,5,7,7,6,6,6,6,6,18,26,16,0.0529801324503311,52.6490066225166
13,"Defensive",58,0,52,"Defensive","Stressed","Stressed","DefensiveStressed",52.7272727272727,0,110,159,0,143,302,52.6490066225166,0,3,7,6,5,6,5,5,7,7,6,6,6,6,6,18,26,16,0.0529801324503311,52.6490066225166
13,"Defensive",69,0,74,"Defensive","Stressed","Stressed","DefensiveStressed",48.2517482517483,0,143,159,0,143,302,52.6490066225166,0,4,7,6,5,6,5,5,7,7,6,6,6,6,6,18,26,16,0.0529801324503311,52.6490066225166
14,"Defensive",9,0,2,"Honest","Stressed","Stressed","HonestStressed",81.8181818181818,0,11,97,1,221,319,30.4075235109718,0.313479623824451,1,7,3,5,5,6,5,7,4,4,6,6,3,5,14,21,16,-0.38871473354232,30.7210031347962
14,"Honest",14,0,27,"Honest","Stressed","Stressed","HonestStressed",34.1463414634146,0,41,97,1,221,319,30.4075235109718,0.313479623824451,2,7,3,5,5,6,5,7,4,4,6,6,3,5,14,21,16,-0.38871473354232,30.7210031347962
14,"Honest",30,0,81,"Honest","Stressed","Stressed","HonestStressed",27.027027027027,0,111,97,1,221,319,30.4075235109718,0.313479623824451,3,7,3,5,5,6,5,7,4,4,6,6,3,5,14,21,16,-0.38871473354232,30.7210031347962
14,"Honest",44,1,111,"Honest","Stressed","Stressed","HonestStressed",28.2051282051282,0.641025641025641,156,97,1,221,319,30.4075235109718,0.313479623824451,4,7,3,5,5,6,5,7,4,4,6,6,3,5,14,21,16,-0.38871473354232,30.7210031347962
